SimulationName,Season,EnvType
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1906,1
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1906,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1909,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1910,1
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1910,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1916,1
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1917,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1917,1
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1917,1
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1926,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1926,1
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1926,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1927,1
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1927,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1934,1
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1939,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1939,1
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1939,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1940,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1943,1
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1943,1
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1943,1
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1950,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1950,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1951,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1954,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1956,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1958,1
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1958,1
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1961,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1961,1
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1961,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1965,1
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1966,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1966,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1970,1
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1970,1
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1970,1
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1971,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1971,1
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1971,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1972,1
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1973,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1973,1
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1973,1
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1975,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1975,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1979,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1980,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1981,1
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1982,1
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1982,1
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1983,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1983,1
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1983,1
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1988,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1988,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1989,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1993,1
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1993,1
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1993,1
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1995,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1995,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1998,1
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1998,1
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1998,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,2003,1
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,2003,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,2007,1
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,2007,1
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,2007,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,2009,1
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,2009,1
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,2009,1
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,2010,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,2010,1
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,2010,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,2011,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,2016,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,2020,1
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,2020,1
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,2020,1
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,2021,1
