SimulationName,Season,EnvType
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingLateSoilWaterHigh,1900,1 
ExperimentDarling Downs ESiteDalby_GC150MSowingLateSoilWaterMid,1900,1
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterMid,1900,1
ExperimentDarling Downs ESiteDalby_GC150MSowingLateSoilWaterHigh,1900,1
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterHigh,1900,1
ExperimentDarling Downs ESiteDalby_GC150MSowingLateSoilWaterLow,1900,1
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterLow,1900,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingLateSoilWaterMid,1900,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingLateSoilWaterHigh,1900,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingLateSoilWaterLow,1900,1
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterHigh,1901,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterHigh,1902,1
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingLateSoilWaterHigh,1902,1
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingLateSoilWaterMid,1902,1
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingLateSoilWaterHigh,1902,1
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterMid,1902,1
ExperimentDarling Downs ESiteDalby_GC150MSowingLateSoilWaterHigh,1902,1
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterHigh,1902,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingLateSoilWaterMid,1902,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingLateSoilWaterHigh,1902,1
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingLateSoilWaterMid,1902,1
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterLow,1902,1
ExperimentDarling Downs ESiteDalby_GC150MSowingLateSoilWaterLow,1902,1
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingLateSoilWaterLow,1902,1
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingLateSoilWaterLow,1902,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterLow,1902,1
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingLateSoilWaterMid,1903,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterMid,1903,1
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingLateSoilWaterHigh,1903,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterHigh,1903,1
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingLateSoilWaterLow,1903,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterLow,1903,1
ExperimentDarling Downs ESiteMiles_GC120SowingLateSoilWaterHigh,1903,1
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingLateSoilWaterMid,1903,1
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingLateSoilWaterMid,1903,1
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingLateSoilWaterHigh,1903,1
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingLateSoilWaterHigh,1903,1
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingLateSoilWaterLow,1903,1
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingLateSoilWaterLow,1903,1
ExperimentDarling Downs ESiteDalby_GC150MSowingLateSoilWaterMid,1903,1
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterMid,1903,1
ExperimentDarling Downs ESiteDalby_GC150MSowingLateSoilWaterHigh,1903,1
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterHigh,1903,1
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterLow,1903,1
ExperimentDarling Downs ESiteDalby_GC150MSowingLateSoilWaterLow,1903,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingMidSoilWaterHigh,1904,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterHigh,1904,1
ExperimentDarling Downs ESiteMiles_GC120SowingLateSoilWaterHigh,1904,1
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingLateSoilWaterMid,1904,1
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingLateSoilWaterHigh,1904,1
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingLateSoilWaterHigh,1904,1
ExperimentDarling Downs ESiteDalby_GC150MSowingLateSoilWaterMid,1904,1
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterMid,1904,1
ExperimentDarling Downs ESiteDalby_GC150MSowingLateSoilWaterHigh,1904,1
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterHigh,1904,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingLateSoilWaterMid,1904,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingLateSoilWaterHigh,1904,1
ExperimentDarling Downs ESiteDalby_GC150MSowingLateSoilWaterLow,1904,1
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterLow,1904,1
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingLateSoilWaterLow,1904,1
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingLateSoilWaterLow,1904,1
ExperimentDarling Downs ESiteMiles_GC120SowingLateSoilWaterLow,1904,1
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterMid,1905,1
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterHigh,1905,1
ExperimentDarling Downs ESiteMiles_GC120SowingMidSoilWaterHigh,1905,1
ExperimentDarling Downs ESiteDalby_Vert180SowingMidSoilWaterLow,1905,1
ExperimentDarling Downs ESiteDalby_Vert180SowingMidSoilWaterMid,1905,1
ExperimentDarling Downs ESiteDalby_GC150MSowingMidSoilWaterMid,1905,1
ExperimentDarling Downs ESiteMiles_GC120SowingMidSoilWaterMid,1905,1
ExperimentDarling Downs ESiteDalby_GC150MSowingMidSoilWaterHigh,1905,1
ExperimentDarling Downs ESiteDalby_Vert180SowingMidSoilWaterHigh,1905,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingMidSoilWaterLow,1905,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingMidSoilWaterMid,1905,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingMidSoilWaterHigh,1905,1
ExperimentDarling Downs ESiteMiles_GC120SowingMidSoilWaterLow,1905,1
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingMidSoilWaterLow,1905,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterLow,1905,1
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingLateSoilWaterMid,1905,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterMid,1905,1
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingLateSoilWaterHigh,1905,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterHigh,1905,1
